language_raw;language_normalized;dead_language;sign_language
english;english;0;0
italian;italian;0;0
french;french;0;0
chinese;chinese;0;0
german;german;0;0
indonesian;indonesian;0;0
deutsch;german;0;0
spanish;spanish;0;0
espagnol;spanish;0;0
anglais;english;0;0
albanian;albanian;0;0
portuguese;portuguese;0;0
arabo;arabic;0;0
javanese;javanese;0;0
javanese language;javanese;0;0
dutch;dutch;0;0
croatian;croatian;0;0
marathi;marathi;0;0
turkish;turkish;0;0
swiss german;swiss-german;0;0
bengali;bengali;0;0
mandarin;chinese;0;0
indonesia;indonesian;0;0
hebrew;hebrew;0;0
malay;malay;0;0
urdu;urdu;0;0
türkisch;turkish;0;0
hindi;hindi;0;0
hungarian;hungarian;0;0
giapponese;japanese;0;0
tedesco;german;0;0
serbian;serbian;0;0
arabic;arabic;0;0
minangkabau;minangkabau;0;0
latin;latin;1;0
frenchman;french;0;0
finnish;finnish;0;0
norwegian;norwegian;0;0
thai;thai;0;0
rumeno;romanian;0;0
telugu;telugu;0;0
aleman;german;0;0
polish;polish;0;0
ukrainian;ukrainian;0;0
francés;french;0;0
arabe;arabic;0;0
russo;russian;0;0
persian;persian;0;0
farsi;persian;0;0
hokkien;hokkien;0;0
spanish ;spanish;0;0
greek;greek;0;0
bokmål, english;norwegian;0;0
bulgarian;bulgarian;0;0
english ;english;0;0
malayalam;malyalam;0;0
japanese;japanese;0;0
ucraina;ukrainian;0;0
catalan;catalan;0;0
swedish;swedish;0;0
english - toefl itp 563;english;0;0
danese;danish;0;0
serbo-croatian;serbo-croatian;0;0
bahasa indonesia;indonesian;0;0
nemetsky;russian;0;0
lingua inglese;english;0;0
dutchie;dutch;0;0
sundanese language;sundanese;0;0
india xia english;english;0;0
brazilian portuguese;porguguese;0;0
chinese (traditional);chinese;0;0
malagasy;malagasy;0;0
bugis;bugis;0;0
ladino;ladino;0;0
bosnian;bosnian;0;0
oriya;oriya;0;0
polish language;polsih;0;0
makassar;makassarese;0;0
cilegon language;indonesian;0;0
cannada;kannada;0;0
deutch;german;0;0
madurese;madurese;0;0
danish;danish;0;0
tamil;tamil;0;0
batak languages;batak;0;0
bugis language;bugis;0;0
vietnamese;vietnamese;0;0
the sai;unknown;0;0
language;unknown;0;0
italian sign language;italian sign language;0;1
japanese language;japanese;0;0
english, middle (1100-1500);middle english;1;0
papiamento;papiamento;0;0
classical arabic;arabic;1;0
maduranese;madurese;0;0
english, french;english;0;0
english, toefl 637;english;0;0
esperanto;esperanto;0;0
madura language;madurese;0;0
korea;korean;0;0
eptic level intermediate score 565;unknown;0;0
basic mandarin chinese;chinese;0;0
tigrinya;tigrinya;0;0
german b2;german;0;0
romeno;romanian;0;0
luxembourgish;luxembourgish;0;0
deutsche;german;0;0
russians;russian;0;0
chinese (cantonese);cantonese;0;0
allemand;german;0;0
turk;turkish;0;0
swiss german ;swiss-german;0;0
french, middle (ca.1400-1600);french;1;0
slovenian;slovenian;0;0
farsi;farsi;0;0
persiano;farsi;0;0
belarusian;belarusian;0;0
chinese (mandarin);chinese;0;0
wolof;wolof;0;0
kannada;kannada;0;0
luxembourgers;luxembourgish;0;0
freanch;french;0;0
roumain;romanian;0;0
swiss-german ;swiss-german;0;0
german - mother tongue;german;0;0
italien;italian;0;0
frenchmen;french;0;0
icelandic;icelandic;0;0
ebraico;hebrew;0;0
coreano;korean;0;0
python ;python;0;0
turco;turkish;0;0
russian;russian;0;0
sundanese;sundanese;0;0
batak toba;batak;0;0
italian ;italian;0;0
latino;latin;1;0
neapolitan;neapolitan;0;0
espanol;spanish;0;0
technical english;english;0;0
slovacco;slovak;0;0
francesce;french;0;0
german (ca.1050-1350);german;1;0
slovak;slovak;0;0
portugais;portuguese;0;0
french, cantonese;french;0;0
frances;french;0;0
englishman;english;0;0
bullgare;bulgarian;0;0
ASL;american sign language;0;1
LIS;italian sign language;0;1
Langues de Signes Françaises;french sign language;0;1
