animal_name_raw; note1; common_name; possible_scientific_name; continent
Pandda;possible typo;Panda;Ailuropoda melanoleuca;Asia
Rhino;short form;Rhinoceros;Rhinocerotidae;Africa
Girrafe;possible typo;Giraffe;Giraffa camelopardalis;Africa
Long Necked Spotter;refers to a giraffe's long neck and spots;Giraffe;Giraffa camelopardalis;Africa
Monkay;possible typo;Monkey;Simiiformes;Africa, Asia, South America
lupo;italian for wolf;Wolf;Canis lupus;Europe, Asia, North America
kingCobra;na;King Cobra;Ophiophagus hannah;Asia
Dog;na;Dog;Canis lupus familiaris;Worldwide
Doog\;probaly a typo;Dog;Canis lupus familiaris
Elefant;german for elephant;Elephant;Loxodonta africana
Loin;possible typo;Lion;Panthera leo
Elephante;possible typo;Elephant;Loxodonta africana
Mono;spanish for monkey;Monkey;Simiiformes
Tuxedo Bird;refers to a penguin's black and white plumage;Penguin;Spheniscidae
One Horned Wonder;refers to a rhinoceros's single horn;Rhinoceros;Rhinocerotidae
Silent Hunter;refers to an owl's silent flight while hunting;Owl;Strigiformes
Hippopotame;french for hippopotamus;Hippopotamus;Hippopotamus amphibius
Honey Hoarder;refers to a bear's love for honey;Bear;Ursidae
Chihuahua;this is a particular breed of dog;Dog;Canis lupus familiaris
Rinoceronte;italian for rhinoceros;Rhinoceros;Rhinocerotidae
Penguino;possible typo;Penguin;Aptenodytes forsteri
Hipopotamus;possible typo;Hippopotamus;Hippopotamus amphibius
Cat;na;Cat;Felis catus
this is my horse;na;Horse;Equus ferus caballus
Kangoroo;possible typo;Kangaroo;Macropus
Koala bear;common misconception, not a bear;Koala;Phascolarctos cinereus
Cow;na;Cow;Bos taurus
Desert Ship;refers to a camel's ability to travel long distances in the desert;Camel;Camelus
siameise cat;na;Cat;Felis catus
Ringtail Leaper;refers to a lemur's long, ringed tail and jumping ability;Lemur;Lemuridae
Pinguin;german for penguin;Penguin;Aptenodytes forsteri
Girafe;french for giraffe;Giraffe;Giraffa camelopardalis
Zebrra;possible typo;Zebra;Equus quagga
Zèbre;french for zebra;Zebra;Equus quagga
Laughing Hyena;refers to the hyena's distinctive 'laughing' call;Hyena;Hyaenidae
Kangourou;french for kangaroo;Kangaroo;Macropus
León;spanish for lion;Lion;Panthera leo
Pand;short form;Panda;Ailuropoda melanoleuca
dog;na;Dog;Canis lupus familiaris
